"pmcid","pmid","date_published","title"
"PMC5399599","28435471","20170322","Nucleolin-targeted Extracellular Vesicles as a Versatile Platform for Biologics"
"PMC5362993","28330468","20170322","Tumor burden monitoring using cell-free tumor DNA could be limited by tumor"
"PMC5557415","28287265","20170321","Glycoproteins in Claudin-Low Breast Cancer Cell Lines Have a Unique Expression"
"PMC5514900","28415597","20170321","Phosphorylation of androgen receptors at serine 515 is a potential prognostic"
"PMC5482633","28415595","20170321","18F-Fluoride PET/CT tumor burden quantification predicts survival in breast"
"PMC5361796","28327103","20170321","Morphological and phenotypical features of ovarian metastases in breast cancer"
"PMC5360250","28323842","20170321","The treatment outcomes and the use of adjuvant therapies in breast cancer"
"PMC5362152","28334634","20170320","E3 Ubiquitin Ligase Cbl-b Prevents Tumor Metastasis by Maintaining the Epithelial"
"PMC5458232","28415563","20170318","GD2 expression in breast cancer."
"PMC5406445","28315938","20170318","The relationship between breast cancer molecular subtypes and mast cell"
"PMC5588859","28325489","20170317","Breast Cancer Screening in Patients With Newly Diagnosed Lung and Colorectal"
"PMC5444736","28415815","20170317","BI-RADS 3–5 microcalcifications: prediction of lymph node metastasis of breast"
"PMC5412118","28376198","20170317","Breast Cancer Risk and Progressive Histology in Serial Benign Biopsies."
"PMC5356318","28302140","20170317","Nighttime eating and breast cancer among Chinese women in Hong Kong."
"PMC5824221","28301662","20170316","Brain Metastases in Newly Diagnosed Breast Cancer: A Population-Based Study."
"PMC5464822","28415798","20170316","Tumor-derived IL-18 induces PD-1 expression on immunosuppressive NK cells in"
"PMC5369871","28377882","20170316","Subtle hippocampal deformities in breast cancer survivors with reduced episodic"
"PMC5356237","28302091","20170316","Development of a test that measures real-time HER2 signaling function in live"
"PMC5537563","28298390","20170315","Clinical usefulness of the free web-based image analysis application ImmunoRatio "
"PMC5503533","28418843","20170315","CD24 Expression and differential resistance to chemotherapy in triple-negative"
"PMC5400527","28411283","20170315","Systematic functional perturbations uncover a prognostic genetic network driving "
"PMC5547191","28335434","20170314","Induction of G2M Arrest by Flavokawain A, a Kava Chalcone, Increases the"
"PMC5385617","28290464","20170314","Blocking the recruitment of naive CD4+ T cells reverses immunosuppression in"
"PMC5358988","28352153","20170314","Development of erythropoietin receptor-targeted drug delivery system against"
"PMC5348894","28288659","20170314","A clinical model for identifying the short-term risk of breast cancer."
"PMC5348847","28288641","20170314","SOX2 regulates multiple malignant processes of breast cancer development through "
"PMC5471008","28423734","20170313","GATA3 and TRPS1 are distinct biomarkers and prognostic factors in breast cancer: "
"PMC5444749","28423731","20170313","A multifunctional lipid nanoparticle for co-delivery of paclitaxel and curcumin"
"PMC5391338","28290007","20170313","Impact of Urban Neighborhood Disadvantage on Late Stage Breast Cancer Diagnosis"
"PMC5436567","28529455","20170312","Dipalmitoylphosphatidic acid inhibits tumor growth in triple-negative breast"
"PMC5482652","28423716","20170311","Oncogenic features of neuromedin U in breast cancer are associated with NMUR2"
"PMC5508575","28283904","20170310","Using ePrognosis to Estimate 2-year All-Cause Mortality in Older Women with"
"PMC5445142","28283696","20170310","Myeloid cells in circulation and tumor microenvironment of breast cancer"
"PMC5438712","28423710","20170310","Phospholipase Cδ1 suppresses cell migration and invasion of breast cancer cells"
"PMC5353336","28289045","20170310","Efficacy and safety of lapatinib and trastuzumab for HER2-positive breast cancer:"
"PMC5824205","28278319","20170309","Association of the Timing of Pregnancy With Survival in Women With Breast Cancer."
"PMC5464845","28423692","20170309","The relationship between members of the canonical NF-κB pathway, components of"
"PMC5432341","28423706","20170309","Identification of Ras suppressor-1 (RSU-1) as a potential breast cancer"
"PMC5408989","28376176","20170309","Tumor Sequencing and Patient-Derived Xenografts in the Neoadjuvant Treatment of"
"PMC5362716","28377926","20170309","Platinum-Based Drugs Differentially Affect the Ultrastructure of Breast Cancer"
"PMC5343419","28274211","20170309","Redefining radiotherapy for early-stage breast cancer with single dose ablative"
"PMC5438644","28415667","20170308","Effect of radiotherapy after breast-conserving surgery in older patients with"
"PMC5437894","28272536","20170308","Prediction of years of life after diagnosis of breast cancer using omics and"
"PMC5405713","28272969","20170308","Prohibitin promotes androgen receptor activation in ER-positive breast cancer."
"PMC5342275","28273157","20170308","Dosimetric comparison of simultaneous integrated boost with whole-breast"
"PMC5341190","28270217","20170307","DCYTB is a predictor of outcome in breast cancer that functions via"
"PMC5341174","28270211","20170307","Syndecan-1 is a novel molecular marker for triple negative inflammatory breast"
"PMC5340346","28267750","20170307","Changes in brain activation in breast cancer patients depend on cognitive domain "
"PMC5340016","28270181","20170307","Weekly taxane–anthracycline combination regimen versus tri-weekly"
"PMC5536661","28415938","20170306","Indocyanine green detects sentinel lymph nodes in early breast cancer."
"PMC5486836","28261749","20170306","Intra-image referencing for simplified assessment of HER2-expression in breast"
"PMC5444747","28427223","20170306","Isoform expression patterns of EPHA10 protein mediate breast cancer progression"
"PMC5427827","28250439","20170306","A retrospective study of lymphatic transverse rectus abdominis myocutaneous/deep "
"PMC5368015","28264146","20170306","Visualization and Tissue Classification of Human Breast Cancer Images Using"
"PMC5367891","28263985","20170306","Robust stratification of breast cancer subtypes using differential patterns of"
"PMC5345996","28293107","20170306","NH4HCO3 gas-generating liposomal nanoparticle for photoacoustic imaging in breast"
"PMC5438634","28427212","20170303","High Myc expression and transcription activity underlies intra-tumoral"
"PMC5438625","28427202","20170303","Clinical implications of genomic profiles in metastatic breast cancer with a"
"PMC5824321","28253390","20170302","Adjuvant Capecitabine in Combination With Docetaxel, Epirubicin, and"
"PMC5438624","28427196","20170302","Breast cancer subtypes predict the preferential site of distant metastases: a"
"PMC5386764","28411284","20170302","Mitochondrial “power” drives tamoxifen resistance: NQO1 and GCLC are new"
"PMC5335840","28253845","20170302","Impact of a combined multimodal-aerobic and multimodal intervention compared to"
"PMC5335498","28253895","20170302","EZH2 protein expression in normal breast epithelium and risk of breast cancer:"
"PMC5658001","28453507","","Genetic Cancer Risk Assessment for Breast Cancer in Latin America."
"PMC5540165","27892991","","Mammography in Older Breast Cancer Survivors: Can We Ever Stop?"
"PMC5531287","28002555","","Contralateral Prophylactic Mastectomy Decisions in a Population-Based Sample of"
"PMC5520652","28033448","","Second Opinions from Medical Oncologists for Early-Stage Breast Cancer:"
"PMC5473032","27832250","","Higher serum levels of vitamin D at diagnosis are associated with better survival"
"PMC5441682","28249895","20170301","Individualized breast cancer characterization through single cell analysis of"
"PMC5410327","28423597","20170301","HRD1 sensitizes breast cancer cells to Tamoxifen by promoting S100A8 degradation."
"PMC5394250","28338879","20170301","Evidence for Detection Bias by Medication Use in a Cohort Study of Breast Cancer "
"PMC5383006","28248984","20170301","Multi-arm Cost-Effectiveness Analysis (CEA) comparing different durations of"
"PMC5369395","28323572","20170301","Bilateral Changes in Deep Tissue Environment After Manual Lymphatic Drainage in"
"PMC5361764","28301261","20170301","A Radiolabeled Fully Human Antibody to Human Aspartyl (Asparaginyl) β-Hydroxylase"
"PMC5360870","27029805","","Concordance between core needle biopsy and surgical specimen for oestrogen"
"PMC5348585","28355358","201703","Breast-conserving surgery in locally advanced breast cancer submitted to"
"PMC5344747","27812689","","Association of Polymorphisms in FCGR2A and FCGR3A With Degree of Trastuzumab"
"PMC5334662","28252570","","Potassium Channel Candidate Genes Predict the Development of Secondary Lymphedema"
"PMC5331962","28248981","20170301","Interaction between body mass index and hormone-receptor status as a prognostic"
"PMC5331935","27789715","","18F-5-Fluoroaminosuberic Acid as a Potential Tracer to Gauge Oxidative Stress in "
"PMC5001940","26925999","","Exploration of Exercise Outcome Expectations among Breast Cancer Survivors."
"PMC5486569","28247034","20170228","Genomic characteristics of trastuzumab-resistant Her2-positive metastatic breast "
"PMC5432284","28460452","20170228","Value of circulating cell-free DNA analysis as a diagnostic tool for breast"
"PMC5375630","28244803","20170228","National Performance Benchmarks for Modern Diagnostic Digital Mammography: Update"
"PMC5340224","28242865","20170228","Metronomic Capecitabine Effectively Blocks Leptomeningeal Carcinomatosis From"
"PMC5331710","28245833","20170228","A hybrid of B and T lymphoblastic cell line could potentially substitute"
"PMC5330495","28245287","20170228","Study of association and molecular analysis of human papillomavirus in breast"
"PMC5330012","28241844","20170228","Immune profiles of elderly breast cancer patients are altered by chemotherapy and"
"PMC5400636","28423538","20170227","Gene regulatory pattern analysis reveals essential role of core transcriptional"
"PMC5400635","28423537","20170227","Limitations in predicting PAM50 intrinsic subtype and risk of relapse score with "
"PMC5387031","28243897","20170227","Oncotype DX breast cancer recurrence score can be predicted with a novel nomogram"
"PMC5330119","28241804","20170227","Expression of enhancer of zeste homolog 2 correlates with survival outcome in"
"PMC5458155","28430642","20170225","Immunocompetent mouse allograft models for development of therapies to target"
"PMC5444766","28427165","20170225","Prognostic significance of tumor-associated macrophages in breast cancer: a"
"PMC5386639","28423635","20170225","Quantification of HER2 and estrogen receptor heterogeneity in breast cancer by"
"PMC5601524","28102696","","Compression forces used in the Norwegian Breast Cancer Screening Program."
"PMC5601512","28055247","","Staging of breast cancer and the advanced applications of digital mammogram: what"
"PMC5464826","28427146","20170224","microRNA-200c/141 upregulates SerpinB2 to promote breast cancer cell metastasis"
"PMC5432221","28460441","20170224","Inflammatory breast cancer tumor emboli express high levels of anti-apoptotic"
"PMC5325264","28235003","20170224","P53 and Ki-67 as prognostic markers in triple-negative breast cancer patients."
"PMC5325186","28234911","20170224","Capecitabine and cisplatin (XP) combination systemic chemotherapy in heavily"
"PMC5432230","28404930","20170223","MicroRNA regulation of progesterone receptor in breast cancer."
"PMC5405099","28233048","20170223","Better compliance with hypofractionation vs. conventional fractionation in"
"PMC5400524","28423528","20170223","Level of FACT defines the transcriptional landscape and aggressive phenotype of"
"PMC5392260","28407697","20170223","Cytosolic Hsp90α and its mitochondrial isoform Trap1 are differentially required "
"PMC5381259","28382169","20170223","Integration of Receptor Tyrosine Kinases Determines Sensitivity to"
"PMC5344634","28232597","20170223","Multidisciplinary Management of Breast Cancer During Pregnancy."
"PMC5328141","28260895","20170223","Biodegradable polymeric micelles coencapsulating paclitaxel and honokiol: a"
"PMC5324281","28231774","20170223","Do pre-diagnosis primary care consultation patterns explain deprivation-specific "
"PMC5322623","28231808","20170223","ITIH5 mediates epigenetic reprogramming of breast cancer cells."
"PMC5381256","28382166","20170222","Association of γH2AX at Diagnosis with Chemotherapy Outcome in Patients with"
"PMC5343999","28241424","20170222","Exome Sequencing in a Family with Luminal-Type Breast Cancer Underpinned by"
"PMC5450737","28278077","20170221","Anti-angiogenic treatment promotes triple-negative breast cancer invasion via"
"PMC5400619","28423514","20170221","Mitotic read-out genes confer poor outcome in luminal A breast cancer tumors."
"PMC5400599","28423524","20170221","Critically short telomeres and toxicity of chemotherapy in early breast cancer."
"PMC5387036","28224384","20170221","Swedish prospective multicenter trial evaluating sentinel lymph node biopsy after"
"PMC5379140","28222072","20170221","Discrepancies in central review re-testing of patients with ER-positive and"
"PMC5343992","28230773","20170221","Programmed Death Ligand 1 (PD-L1) Tumor Expression Is Associated with a Better"
"PMC5320774","28222726","20170221","Treatment delays among women with breast cancer in a low socio-economic status"
"PMC5320658","28222768","20170221","Ki-67 as a controversial predictive and prognostic marker in breast cancer"
"PMC5319077","28222775","20170221","Modification of the association between recreational physical activity and"
"PMC5318212","28246240","","Lifestyle modifications for patients with breast cancer to improve prognosis and "
"PMC5520182","28216624","20170220","Dual-targeted hybrid nanoparticles of synergistic drugs for treating lung"
"PMC5458212","28430626","20170220","Expression of PD-L1 and prognosis in breast cancer: a meta-analysis."
"PMC5400616","28423511","20170220","ATM kinase sustains breast cancer stem-like cells by promoting ATG4C expression"
"PMC5350586","28223083","20170220","Characteristics and prognosis of Japanese female breast cancer patients: The"
"PMC5344637","28220020","20170220","Randomized Phase II Study of Ramucirumab or Icrucumab in Combination with"
"PMC5400561","28423498","20170218","The PIAS3-Smurf2 sumoylation pathway suppresses breast cancer organoid"
"PMC5432251","28412736","20170217","Tumor biology, clinicopathological characteristics and prognosis of screen"
"PMC5387013","28213781","20170217","Swedish prospective multicenter trial on the accuracy and clinical relevance of"
"PMC5387009","28213782","20170217","Prognosis of residual axillary disease after neoadjuvant chemotherapy in"
"PMC5345677","28211614","20170217","Opportunities for improving triple‐negative breast cancer outcomes: results of a "
"PMC5316186","28212608","20170217","Transcriptomic dynamics of breast cancer progression in the MMTV-PyMT mouse"
"PMC5315304","28212434","20170217","Prognostic and clinicopathological value of poly (adenosine diphosphate-ribose)"
"PMC5432247","28412731","20170216","C-terminal binding protein-2 promotes cell proliferation and migration in breast "
"PMC5386747","28223545","20170216","Ring finger protein 6 promotes breast cancer cell proliferation by stabilizing"
"PMC5379146","28208154","20170216","Gestational diabetes mellitus may be associated with increased risk of breast"
"PMC5379139","28208155","20170216","PET/MR in invasive ductal breast cancer: correlation between imaging markers and "
"PMC5312435","28202066","20170216","Mitotic counts in breast cancer should be standardized with a uniform sample"
"PMC5432314","28212580","20170215","Network pharmacology-based and clinically relevant prediction of the active"
"PMC5387027","28205044","20170215","Clinical tumor stage is the most important predictor of pathological complete"
"PMC5387012","28205042","20170215","Screening-relevant age threshold of 70 years and older is a stronger determinant "
"PMC5362115","28202527","20170215","[18F](2S,4R)4-Fluoroglutamine PET Detects Glutamine Pool Size Changes in Triple"
"PMC5310899","28199328","20170215","Association of PvuII and XbaI polymorphisms on estrogen receptor alpha (ESR1)"
"PMC5310784","28199370","20170215","Extra-nodal extension is a significant prognostic factor in lymph node positive"
"PMC5701282","28194807","20170214","DEMOGRAPHIC CHANGES IN BREAST CANCER INCIDENCE, STAGE AT DIAGNOSIS AND AGE"
"PMC5639721","28196257","","Association Between Use of a Scalp Cooling Device and Alopecia After Chemotherapy"
"PMC5355928","28196064","20170214","MT4-MMP and EGFR expression levels are key biomarkers for breast cancer patient"
"PMC5408732","28191695","20170213","Breast Cancer in Pregnancy: Avoiding Fetal Harm When Maternal Treatment Is"
"PMC5307758","28193205","20170213","Comparison of immunohistochemistry with PCR for assessment of ER, PR, and Ki-67"
"PMC5305236","28192444","20170213","Barriers to early presentation and diagnosis of breast cancer among African women"
"PMC5305059","28192525","20170213","A prospective study of breast anthropomorphic measurements, volume and ptosis in "
"PMC5304396","28193231","20170213","Association of osteopontin with specific prognostic factors and survival in"
"PMC5802414","28190251","20170211","Sleep duration and breast cancer prognosis: perspectives from the Women's Healthy"
"PMC5546525","28206957","20170211","Young breast cancer patients who develop distant metastasis after surgery have"
"PMC5410267","28206964","20170211","Association of 15-hydroxyprostaglandin dehydrogenate and poor prognosis of obese "
"PMC5387007","28190252","20170211","The BIG 2.04 MRC/EORTC SUPREMO Trial: pathology quality assurance of a large"
"PMC5386734","28199966","20170210","Does dual HER-2 blockade treatment increase the risk of severe toxicities of"
"PMC5333259","28269934","20170210","Data Driven Approach to Burden of Treatment Measurement: A Study of Patients with"
"PMC5302792","28187177","20170210","A comparison of Ki-67 counting methods in luminal Breast Cancer: The Average"
"PMC5302783","28187209","20170210","A cut-off of 2150 cytokeratin 19 mRNA copy number in sentinel lymph node may be a"
"PMC5301372","28183331","20170210","Phase II, randomized, placebo-controlled study of dovitinib in combination with"
"PMC5355933","28183141","20170209","Mammography service screening and breast cancer mortality in New Zealand: a"
"PMC5355930","28183140","20170209","Correlation between PIK3CA mutations in cell-free DNA and everolimus efficacy in "
"PMC5343898","28208771","20170209","Detecting Blood-Based Biomarkers in Metastatic Breast Cancer: A Systematic Review"
"PMC5336525","28183826","20170209","Impact of a false positive screening mammogram on subsequent screening behavior"
"PMC5315207","28243082","20170209","Rational design of multifunctional micelles against doxorubicin-sensitive and"
"PMC5299741","28183321","20170209","Biomarker analysis of the NeoSphere study: pertuzumab, trastuzumab, and docetaxel"
"PMC5417059","28177081","20170208","The Working Memory and Dorsolateral Prefrontal-Hippocampal Functional"
"PMC5381252","28382162","20170208","Incorporating gold nanoclusters and target-directed liposomes as a synergistic"
"PMC5367042","28181130","20170208","MicroRNAs miR-7 and miR-340 predict response to neoadjuvant chemotherapy in"
"PMC5299657","28179017","20170208","Thymosin beta 10 is a key regulator of tumorigenesis and metastasis and a novel"
"PMC5298304","28178355","20170208","Effects of exercise training on circulating levels of Dickkpof-1 and secreted"
"PMC5298279","28178283","20170208","Behavioral risk factors of breast cancer in Bangui of Central African Republic: A"
"PMC5530866","28170472","","Genetic testing and counseling among patients with newly diagnosed breast cancer."
"PMC5355929","28170371","20170207","Imaging tests in staging and surveillance of non-metastatic breast cancer:"
"PMC5337404","28176174","20170207","Adiposity, Post-Diagnosis Weight Change and Risk of Cardiovascular Events among"
"PMC5332485","28176175","20170207","Safety and immunogenicity of neoadjuvant treatment using WT1-immunotherapeutic in"
"PMC5297122","28173783","20170207","Immunohistochemical determination of estrogen and progesterone receptors in"
"PMC5297091","28173818","20170207","The predictive value of methylene blue dye as a single technique in breast cancer"
"PMC5410244","28186980","20170206","Diet-induced obesity links to ER positive breast cancer progression via"
"PMC5386667","28186977","20170206","Pathological complete response of HER2-positive breast cancer to trastuzumab and "
"PMC5369991","28186965","20170206","Cell-free DNA detected by “liquid biopsy” as a potential prognostic biomarker in "
"PMC5346525","28293478","20170206","Disrupted brain network functional dynamics and hyper‐correlation of structural"
"PMC5293550","28166544","20170206","Use of Tumor-infiltrating lymphocytes (TILs) to predict the treatment response to"
"PMC5293281","28166261","20170206","Radiomic analysis reveals DCE-MRI features for prediction of molecular subtypes"
"PMC5392336","28179588","20170205","TP53-based interaction analysis identifies cis-eQTL variants for TP53BP2, FBXO28,"
"PMC5291974","28158984","20170203","Refining a questionnaire to assess breast cancer knowledge and barriers to"
"PMC5824237","28152150","20170202","Evaluation of the Quality of Adjuvant Endocrine Therapy Delivery for Breast"
"PMC5400556","28178648","20170202","Polymorphisms of ESR1, UGT1A1, HCN1, MAP3K1 and CYP2B6 are associated with the"
"PMC5380478","28154107","20170202","Impact of social and built environment factors on body size among breast cancer"
"PMC5362523","28178655","20170202","CHL1 hypermethylation as a potential biomarker of poor prognosis in breast"
"PMC5312075","28260828","20170202","Differential Site-Based Expression of Pentose Phosphate Pathway-Related Proteins "
"PMC5505167","28179314","","DNA Methylation in Breast Tumor from High-risk Women in the Breast Cancer Family "
"PMC5392308","28160560","20170201","Exosome secretome and mediated signaling in breast cancer patients with"
"PMC5329117","28150129","20170201","Psychosocial factors associated with the uptake of contralateral prophylactic"
"PMC5296226","28124838","","Green tea polyphenols induce cell death in breast cancer MCF-7 cells through"
"PMC5293364","28203057","20170201","Kelussia odoratissima Mozaff. activates intrinsic pathway of apoptosis in breast "
"PMC5288940","28148288","20170201","Metalloprotease-disintegrin ADAM12 actively promotes the stem cell-like phenotype"
"PMC5214951","27506906","","Quantitative [18F]-FMISO- PET imaging shows reduction of hypoxia following"
"PMC5392301","28152501","20170131","Breast cancer cell cyclooxygenase-2 expression alters extracellular matrix"
"PMC5380519","28143808","20170131","Contextual impact of neighborhood obesogenic factors on postmenopausal breast"
"PMC5286656","28143493","20170131","The Yin/Yan of CCL2: a minor role in neutrophil anti-tumor activity in vitro but "
"PMC5283831","28137359","","Pharmacological targeting of the transcription factor SOX18 delays breast cancer "
"PMC5282818","28137289","20170131","Immediate liposuction could shorten the time for endoscopic axillary"
"PMC5282712","28143431","20170131","Mammographic breast density and risk of breast cancer in women with atypical"
"PMC5455352","28135148","20170130","Long-Term Prognostic Risk After Neoadjuvant Chemotherapy Associated With Residual"
"PMC5423781","28135249","20170130","The Cdc42/Rac1 regulator CdGAP is a novel E-cadherin transcriptional co-repressor"
"PMC5386711","28160548","20170130","Regulation of miRNA-29c and its downstream pathways in preneoplastic progression "
"PMC5388583","28132957","20170129","Risk of Heart Failure with Preserved Ejection Fraction in Older Women after"
"PMC5374079","28132391","20170128","Accelerated partial breast irradiation compared with whole breast radiation"
"PMC5273793","28129767","20170128","Helical TomoTherapy for locally advanced or recurrent breast cancer."
"PMC5402716","28134654","20170127","Does expecting more pain make it more intense? Factors associated with the first "
"PMC5369975","28147315","20170127","Prognostic value of reduced E-cadherin expression in breast cancer: a"
"PMC5271341","28129357","20170127","Enrichment and Molecular Analysis of Breast Cancer Disseminated Tumor Cells from "
"PMC5824238","28125763","20170126","Continued Treatment Effect of Zoledronic Acid Dosing Every 12 vs 4 Weeks in Women"
"PMC5599983","27983769","20170126","How do women at increased breast cancer risk perceive and decide between risks of"
"PMC5343796","28134770","20170126","Review: Receptor Targeted Nuclear Imaging of Breast Cancer."
"PMC5327649","28255366","20170126","Liposomal Nanoparticles Carrying anti-IL6R Antibody to the Tumour"
"PMC5304215","28146217","20170126","Neoadjuvant chemotherapy with trastuzumab in HER2-positive breast cancer:"
"PMC5268771","28125710","20170126","Prevalence and Risk Factors of Ovarian Metastases in Breast Cancer Patients < 41 "
"PMC5267401","28122558","20170126","Cost of breast cancer based on real-world data: a cancer registry study in Italy."
"PMC5267467","28122498","20170125","Ridle for sparse regression with mandatory covariates with application to the"
"PMC5357494","28120249","20170124","Efficacy versus effectiveness of clinical genetic testing criteria for BRCA1 and "
"PMC5355228","28125801","20170124","Genome-wide copy number aberrations and HER2 and FGFR1 alterations in primary"
"PMC5278255","28119394","20170124","Use and outcomes of targeted therapies in early and metastatic HER2-positive"
"PMC5270318","28149335","20170124","CDH22 hypermethylation is an independent prognostic biomarker in breast cancer."
"PMC5367340","28112378","20170123","Combination Twist1 and CA15-3 in axillary lymph nodes for breast cancer"
"PMC5354968","28115363","20170123","Aberrant phosphorylation of SMAD4 Thr277-mediated USP9x-SMAD4 interaction by free"
"PMC5321192","27707842","20170123","Brain metastasis reirradiation in patients with advanced breast cancer."
"PMC5321183","27422931","20170123","Regional recurrence in breast cancer patients with one to three positive axillary"
"PMC5259892","28114909","20170123","Low glycemic index diet, exercise and vitamin D to reduce breast cancer"
"PMC5259848","28114999","20170123","Parity, hormones and breast cancer subtypes - results from a large nested"
"PMC5292181","28210624","20170122","RNA Sequencing Analysis Reveals Interactions between Breast Cancer or Melanoma"
"PMC5362509","28121628","20170121","Combined evaluation of the FAS cell surface death receptor and CD8+ tumor"
"PMC5355157","28122328","20170121","Genome-wide screen identifies a novel prognostic signature for breast cancer"
"PMC5276839","27801993","20170121","Predictive factors of the tumor immunological microenvironment for long‐term"
"PMC5718353","28076950","20170120","Single Amino Acid Variant Profiles of Subpopulations in the MCF-7 Breast Cancer"
"PMC5279075","28099330","20170120","Clarifying the debate on population-based screening for breast cancer with"
"PMC5249060","28107508","20170120","Prospects of Targeting the Gastrin Releasing Peptide Receptor and Somatostatin"
"PMC5824239","28114604","20170119","Topical Imiquimod Plus Nab-paclitaxel for Breast Cancer Cutaneous Metastases: A"
"PMC5388560","28104715","20170119","Detailed Echocardiographic Phenotyping in Breast Cancer Patients: Associations"
"PMC5386708","28121625","20170119","Cancer-associated fibroblasts release exosomal microRNAs that dictate an"
"PMC5362465","28122343","20170119","Targeted breast cancer therapy by harnessing the inherent blood group antigen"
"PMC5355151","28108744","20170119","Increased breast cancer risk with HABP1/p32/gC1qR genetic polymorphism rs2285747 "
"PMC5328357","28452680","20170119","Contemporary radiooncological management of bone metastases from breast cancer:"
"PMC5289608","28103241","20170119","Contextual Refinement of Regulatory Targets Reveals Effects on Breast Cancer"
"PMC5248526","28103946","20170119","EPCR promotes breast cancer progression by altering SPOCK1/testican 1-mediated 3D"
"PMC5244534","28103902","20170119","Relationship between crown-like structures and sex-steroid hormones in breast"
"PMC5546519","28108743","20170118","Hormonal therapy followed by chemotherapy or the reverse sequence as first-line"
"PMC5253974","27988492","20170118","Cytochrome P-450 2D6 (CYP2D6) Genotype and Breast Cancer Recurrence in"
"PMC5455600","28095159","20170117","Validation and Modification of a Prediction Model for Acute Cardiac Events in"
"PMC5362507","28107186","20170117","The combination of PD-L1 expression and decreased tumor-infiltrating lymphocytes "
"PMC5362453","28107181","20170117","Cyclin E overexpression as a biomarker for combination treatment strategies in"
"PMC5327640","28255357","20170115","STAT3/NF-κB-Regulated Lentiviral TK/GCV Suicide Gene Therapy for"
"PMC5243147","28212736","","TAp73 upregulates IL-1β in cancer cells: Potential biomarker in lung and breast"
"PMC5355144","28099938","20170114","BI-RADS 3–5 microcalcifications can preoperatively predict breast cancer HER2 and"
"PMC5616181","28089784","20170113","Axillary Management of Stage II/III Breast Cancer Patients Treated with"
"PMC5575736","28087608","20170113","Diabetes, Abnormal Glucose, Dyslipidemia, Hypertension, and Risk of Inflammatory "
"PMC5355131","28099147","20170113","CTLA-4 positive breast cancer cells suppress dendritic cells maturation and"
"PMC5313647","28083945","20170113","Associations between pathologic tumor features and preadjuvant therapy cognitive "
"PMC5266154","28079792","20170113","Amplification of HER2 and TOP2A and deletion of TOP2A genes in a series of"
"PMC5237290","28086982","20170113","Reproductive factors and the risk of triple-negative breast cancer in white women"
"PMC5234813","28085940","20170113","Location of Receipt of Initial Treatment and Outcomes in Long-Term Breast Cancer "
"PMC5234799","28085956","20170113","MiRNAs Predict the Prognosis of Patients with Triple Negative Breast Cancer: A"
"PMC5695865","28082280","20170112","Serum Metabolomic Profiles Identify ER-Positive Early Breast Cancer Patients at"
"PMC5318977","28081544","20170112","Nomogram to predict pathologic complete response in HER2-positive breast cancer"
"PMC5318971","28081538","20170112","Testing breast cancer serum biomarkers for early detection and prognosis in"
"PMC5458742","28075622","20170111","Imaging Surveillance After Primary Breast Cancer Treatment."
"PMC5362301","28094049","20170110","EP4 RECEPTOR PROMOTES INVADOPODIA AND INVASION IN HUMAN BREAST CANCER."
"PMC5228675","28072715","20170110","Conditional disease-free survival among patients with breast cancer."
"PMC5225010","28072864","20170110","1H NMR Metabolomics Reveals Association of High Expression of Inositol 1, 4, 5"
"PMC5355283","28086235","20170109","A novel ZEB1/HAS2 positive feedback loop promotes EMT in breast cancer."
"PMC5337166","28069877","20170109","Bone seeking matrix metalloproteinase-2 inhibitors prevent bone metastatic breast"
"PMC5240877","28065930","20170109","Rapid Changes in Circulating Tumor DNA in Serially Sampled Plasma During"
"PMC5223366","28068979","20170109","First report on molecular breast cancer subtypes and their clinico-pathological"
"PMC5222396","28068434","20170109","Annexin/S100A Protein Family Regulation through p14ARF-p53 Activation: A Role in "
"PMC5685257","28058861","20170106","Featured Article: Downregulation of transgelin blocks interleukin-8 utilization"
"PMC5427709","28061004","20170106","Objective physical and mental markers of self‐reported fatigue in women"
"PMC5413581","28062931","20170106","Fewer Reoperations After Lumpectomy for Breast Cancer with Neoadjuvant Rather"
"PMC5380555","28062399","20170106","Longitudinal study of mammographic density measures that predict breast cancer"
"PMC5354682","28076334","20170106","Establishment of a normal-derived estrogen receptor-positive cell line comparable"
"PMC5290093","28062977","20170106","Angiopoietin pathway gene expression associated with poor breast cancer survival."
"PMC5391320","28055119","20170105","A Pilot Randomized Controlled Trial of Cognitive Bias Modification to Reduce Fear"
"PMC5376696","28056857","20170105","Upregulation of Mrps18a in breast cancer identified by selecting phage antibody"
"PMC5355325","28076843","20170105","Pax-5 is a potent regulator of E-cadherin and breast cancer malignant processes."
"PMC5355103","28076326","20170105","Cytosolic THUMPD1 promotes breast cancer cells invasion and metastasis via the"
"PMC5354142","28064235","20170105","Outcomes in Patients with pT1-T2, pN0-N1 Breast Cancer After Conservative Surgery"
"PMC5354134","28064227","20170105","PET Probe-Guided Surgery in Patients with Breast Cancer: Proposal for a"
"PMC5294484","28056464","20170105","Impact of CTLA-4 blockade in conjunction with metronomic chemotherapy on"
"PMC5294483","28056463","20170105","Soluble VE-cadherin in metastatic breast cancer: an independent prognostic factor"
"PMC5240483","28096732","20170105","Estimation of T2* Relaxation Time of Breast Cancer: Correlation with Clinical,"
"PMC5238778","28101578","20170105","A 22q11.2 amplification in the region encoding microRNA-650 correlates with the"
"PMC5221115","28051026","","Blood Oxygenation Level-dependent Magnetic Resonance Imaging of Breast Cancer:"
